pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
AIM,AIM,0,0,0,1,0,0,2,1,0,0,0,Recurrent
AIM,AIY,0,0,0,0,0,0,1,0,0,0,1,Feed-forward
AIM,AIZ,0,0,0,0,0,0,1,3,0,0,1,Feed-forward
AIM,ALM,0,0,0,2,3,0,1,2,3,1,1,Feed-back
AIM,ASG,4,9,5,5,7,8,13,14,0,0,0,Feed-back
AIM,ASH,0,0,1,2,0,0,4,2,1,1,2,Feed-back
AIM,ASI,0,0,0,0,1,0,0,0,0,0,0,Feed-back
AIM,ASJ,3,5,0,1,0,4,1,4,2,1,0,Feed-back
AIM,ASK,1,1,1,2,5,4,6,8,1,0,0,Feed-back
AIM,AVA,0,0,0,0,0,0,1,1,8,19,14,Feed-forward
AIM,AVB,0,0,0,1,0,1,3,3,7,4,6,Feed-forward
AIM,AVD,0,0,0,1,2,0,2,3,14,11,8,Feed-forward
AIM,AVE,0,0,0,0,1,0,0,0,5,3,2,Feed-forward
AIM,AVF,0,0,0,0,6,6,10,7,1,0,2,Recurrent
AIM,AVH,0,0,0,0,0,1,0,0,1,0,1,Recurrent
AIM,AVJ,0,0,0,0,0,0,1,2,6,3,3,Feed-forward
AIM,AWB,0,0,0,0,0,1,2,2,1,0,0,Feed-back
AIM,AWC,1,0,0,0,0,0,0,0,0,0,0,Feed-back
AIM,CEPV,0,0,0,0,0,0,1,1,0,0,0,Recurrent
AIM,HSN,0,0,0,0,0,0,3,0,0,0,0,Recurrent
AIM,PVP,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
AIM,PVQ,0,0,1,0,0,0,0,0,0,0,0,Recurrent
AIM,PVW,0,0,0,0,0,0,2,0,0,0,0,Feed-forward
AIM,RIC,0,0,0,0,0,0,1,0,0,0,0,Recurrent
AIM,RID,0,0,0,0,0,0,2,0,0,0,0,Recurrent
AIM,RIF,0,0,0,0,0,0,2,4,3,1,1,Feed-forward
AIM,RMG,0,0,0,0,0,1,1,1,1,0,2,Recurrent
AIM,SDQ,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AIM,SIAD,0,0,0,0,0,0,1,1,0,1,0,Feed-forward
AIM,SIBD,0,0,0,1,2,1,0,1,0,1,0,Feed-forward
AIM,SMBD,0,0,0,0,0,1,1,1,0,0,0,Feed-forward
AIM,SMBV,0,0,0,0,0,0,1,1,2,1,0,Feed-forward
AIM,SMDD,0,0,0,0,1,0,0,0,0,0,0,Feed-forward
AIM,URB,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIM,URX,0,0,0,0,1,1,1,0,1,0,0,Feed-back
AIM,URYD,0,0,0,0,0,0,0,0,1,0,1,Feed-back
AIM,URYV,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AIN,ADF,0,1,0,0,0,0,0,0,0,0,0,Feed-back
AIN,AFD,5,5,8,9,10,9,16,17,5,9,6,Feed-back
AIN,AIA,1,1,0,0,0,0,0,1,1,1,3,Recurrent
AIN,AIB,1,2,0,0,0,0,4,2,1,1,1,Recurrent
AIN,AIN,0,1,0,0,0,2,0,1,1,0,0,Recurrent
AIN,AIY,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AIN,ASE,1,1,4,1,0,1,3,3,6,4,4,Feed-back
AIN,ASG,1,1,0,0,0,0,0,0,0,1,0,Feed-back
AIN,ASI,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AIN,ASJ,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIN,ASK,0,0,0,0,0,0,0,0,0,0,3,Feed-back
AIN,AUA,3,4,4,4,8,6,7,5,3,2,8,Feed-back
AIN,AVA,0,0,0,0,0,0,0,1,0,0,2,Recurrent
AIN,AVE,0,0,0,0,0,0,0,0,2,0,2,Recurrent
AIN,AWC,0,2,0,2,0,0,1,0,2,0,3,Feed-back
AIN,BAG,3,1,4,7,5,12,19,16,18,14,12,Feed-back
AIN,CEPD,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIN,CEPV,1,0,0,1,1,1,3,5,0,0,2,Feed-back
AIN,IL2D,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIN,IL2L/R,0,0,0,0,1,0,0,0,0,0,0,Feed-back
AIN,PVQ,0,0,0,0,0,0,0,0,0,0,3,Feed-back
AIN,RIA,0,0,0,0,0,0,1,0,0,0,1,Recurrent
AIN,RIB,2,0,1,3,5,7,15,13,14,12,19,Recurrent
AIN,RID,0,1,1,2,1,0,1,5,3,4,4,Feed-back
AIN,RIM,0,0,0,0,1,0,4,2,1,0,0,Recurrent
AIN,RIP,0,0,0,0,0,0,0,0,0,0,2,Recurrent
AIN,RMF,0,0,0,0,0,0,0,2,10,9,6,Feed-forward
AIN,URX,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AIY,ADF,3,6,2,2,0,0,2,1,1,1,0,Feed-back
AIY,AFD,0,0,0,2,1,1,2,1,0,3,1,Feed-back
AIY,AIA,0,1,0,0,0,0,0,0,0,0,0,Recurrent
AIY,AIB,0,0,0,0,0,0,1,2,0,0,0,Recurrent
AIY,AIY,0,0,0,0,0,1,1,0,0,0,0,Recurrent
AIY,AIZ,8,12,12,14,23,21,26,23,25,26,13,Recurrent
AIY,ASE,0,0,1,0,0,0,4,3,3,0,1,Feed-back
AIY,AUA,1,0,0,1,0,0,0,3,2,0,2,Feed-back
AIY,AVB,0,0,0,0,0,0,0,1,1,1,0,Recurrent
AIY,AWA,0,1,0,0,2,3,1,3,2,1,1,Feed-back
AIY,AWB,0,1,2,0,1,1,0,2,0,0,0,Feed-back
AIY,AWC,0,0,0,0,0,0,1,0,2,3,0,Feed-back
AIY,BAG,2,0,1,6,3,0,1,3,2,0,0,Feed-back
AIY,DVA,0,0,0,0,0,0,0,0,1,1,1,Feed-back
AIY,RIA,3,6,5,6,10,7,11,6,8,8,6,Recurrent
AIY,RIB,5,9,6,8,8,7,12,12,9,9,9,Recurrent
AIY,RIH,0,0,0,0,0,0,0,0,0,2,1,Recurrent
AIY,RIM,0,0,0,0,0,0,0,1,1,1,0,Recurrent
AIY,RIR,0,1,0,0,0,2,1,0,3,3,2,Recurrent
AIY,RIV,0,1,0,0,0,0,0,0,0,0,0,Feed-forward
AIY,SIBD,1,1,0,0,0,0,0,0,0,0,0,Feed-forward
AIY,URX,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AIZ,ADF,2,0,0,4,1,2,1,0,1,1,0,Feed-back
AIZ,AFD,0,0,0,0,0,0,1,0,1,0,0,Feed-back
AIZ,AIA,2,2,2,6,6,9,10,22,16,13,8,Recurrent
AIZ,AIB,8,12,11,21,29,34,46,73,24,26,29,Recurrent
AIZ,AIM,0,0,0,0,0,0,0,0,2,1,0,Feed-back
AIZ,AIN,0,0,0,0,0,0,0,0,1,0,0,Recurrent
AIZ,AIY,0,0,0,0,1,1,0,1,0,1,0,Recurrent
AIZ,AIZ,0,0,0,0,1,0,0,1,1,1,0,Recurrent
AIZ,ASE,1,1,0,0,3,4,3,3,6,7,3,Feed-back
AIZ,ASG,0,0,0,0,0,0,0,1,1,1,0,Feed-back
AIZ,ASH,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIZ,AUA,0,0,0,0,1,0,0,0,0,0,0,Feed-back
AIZ,AVA,0,0,0,1,1,0,0,1,0,0,2,Recurrent
AIZ,AVD,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AIZ,AVE,4,3,4,5,8,11,24,20,4,9,5,Recurrent
AIZ,AVH,0,0,0,0,0,1,0,0,0,0,0,Feed-back
AIZ,AVK,0,0,0,0,0,1,0,0,1,0,0,Feed-back
AIZ,AWA,0,0,0,0,0,1,2,1,1,1,0,Feed-back
AIZ,AWB,0,1,0,1,0,1,1,2,0,3,0,Feed-back
AIZ,AWC,0,0,0,0,1,0,3,3,5,2,2,Feed-back
AIZ,BAG,0,0,0,1,0,1,2,2,0,0,0,Feed-back
AIZ,DVA,0,0,0,0,0,0,1,1,1,1,0,Feed-back
AIZ,RIA,5,7,4,12,15,17,24,20,20,22,14,Recurrent
AIZ,RIB,1,1,1,1,1,0,0,0,0,0,0,Recurrent
AIZ,RID,0,0,0,0,0,0,0,1,0,0,0,Feed-back
AIZ,RIG,0,0,0,0,0,0,0,0,2,0,1,Recurrent
AIZ,RIH,0,0,0,0,0,0,0,1,1,0,1,Recurrent
AIZ,RIM,7,11,8,14,20,17,24,40,8,8,16,Recurrent
AIZ,SIBD,0,1,0,0,0,0,0,0,0,1,0,Feed-forward
AIZ,SMBD,5,6,6,13,14,19,28,22,18,22,11,Feed-forward
AIZ,SMBV,5,6,5,16,18,21,28,27,23,20,13,Feed-forward
AIZ,SMDD,0,0,0,0,0,0,0,0,1,0,2,Feed-forward
